Word	FREQcount	CDcount	FREQlow	CDlow	SUBTLwf	Lg10WF	SUBTLcd	Lg10CD	Length
hey	88079	7540	6856	2830	1727.04	4.9449	89.89	3.8774	3
win	6867	2788	6649	2753	134.65	3.8368	33.24	3.4454	3
top	6805	3606	6080	3440	133.43	3.8329	42.99	3.5571	3
air	7090	3325	6023	3132	139.02	3.8507	39.64	3.5219	3
lie	6133	3353	5740	3231	120.25	3.7877	39.97	3.5256	3
mad	5784	2965	5489	2879	113.41	3.7623	35.35	3.4722	3
eye	5701	3216	5464	3157	111.78	3.756	38.34	3.5075	3
law	5932	2517	5421	2413	116.31	3.7733	30.01	3.4011	3
ten	7395	3273	5220	2507	145	3.869	39.02	3.5151	3
act	5565	3086	5100	2923	109.12	3.7455	36.79	3.4895	3
bag	4796	2508	4600	2458	94.04	3.681	29.9	3.3995	3
box	4577	2353	4355	2296	89.75	3.6607	28.05	3.3718	3
red	7551	3042	4353	2450	148.06	3.8781	36.27	3.4833	3
key	4430	2165	4165	2099	86.86	3.6465	25.81	3.3357	3
ran	4296	2870	4154	2808	84.24	3.6332	34.22	3.458	3
cop	4393	1467	4131	1408	86.14	3.6429	17.49	3.1667	3
fix	4426	2576	4091	2463	86.78	3.6461	30.71	3.4111	3
fly	4335	2117	4008	2045	85	3.6371	25.24	3.3259	3
bar	4385	2220	3980	2091	85.98	3.6421	26.47	3.3465	3
age	4039	2499	3772	2388	79.2	3.6064	29.79	3.3979	3
owe	3782	2353	3767	2350	74.16	3.5778	28.05	3.3718	3
ice	4057	1974	3725	1891	79.55	3.6083	23.53	3.2956	3
bus	3783	1546	3607	1504	74.18	3.578	18.43	3.1895	3
fat	4051	2046	3427	1905	79.43	3.6077	24.39	3.3111	3
arm	3336	1945	3239	1906	65.41	3.5234	23.19	3.2891	3
gas	3457	1607	3216	1540	67.78	3.5388	19.16	3.2063	3
cry	3348	1900	3194	1857	65.65	3.5249	22.65	3.279	3
hat	3273	1728	3096	1691	64.18	3.5151	20.6	3.2378	3
sun	3553	1957	3055	1757	69.67	3.5507	23.33	3.2918	3
rid	3052	2034	3029	2028	59.84	3.4847	24.25	3.3086	3
sad	3232	2003	2992	1910	63.37	3.5096	23.88	3.3019	3
god	46061	6940	2983	1035	903.16	4.6633	82.74	3.8414	3
art	3611	1601	2890	1422	70.8	3.5577	19.09	3.2047	3
cat	3383	1386	2855	1241	66.33	3.5294	16.52	3.1421	3
leg	2882	1588	2832	1566	56.51	3.4598	18.93	3.2011	3
fit	2937	2090	2830	2057	57.59	3.4681	24.92	3.3204	3
pal	2937	1602	2821	1569	57.59	3.4681	19.1	3.2049	3
low	3016	2041	2789	1931	59.14	3.4796	24.33	3.3101	3
gay	3013	977	2711	922	59.08	3.4791	11.65	2.9903	3
tea	2990	1407	2668	1322	58.63	3.4758	16.77	3.1486	3
sea	3052	1353	2548	1188	59.84	3.4847	16.13	3.1316	3
beg	2600	1643	2388	1543	50.98	3.4151	19.59	3.2159	3
cup	2634	1566	2373	1494	51.65	3.4208	18.67	3.1951	3
lay	2970	1951	2334	1710	58.24	3.4729	23.26	3.2905	3
due	2275	1712	2103	1615	44.61	3.3572	20.41	3.2338	3
sky	2285	1233	2023	1178	44.8	3.3591	14.7	3.0913	3
dry	2184	1537	2003	1450	42.82	3.3395	18.32	3.187	3
tie	2266	1477	1984	1330	44.43	3.3555	17.61	3.1697	3
dig	2357	1253	1865	1119	46.22	3.3725	14.94	3.0983	3
wet	2000	1405	1851	1352	39.22	3.3012	16.75	3.148	3
lab	2020	1007	1821	969	39.61	3.3056	12.01	3.0035	3
oil	2095	1059	1816	997	41.08	3.3214	12.63	3.0253	3
pig	1996	1056	1767	993	39.14	3.3004	12.59	3.0241	3
cab	1826	961	1709	926	35.8	3.2617	11.46	2.9832	3
ate	1722	1285	1695	1265	33.76	3.2363	15.32	3.1092	3
pop	3441	1548	1595	1163	67.47	3.5368	18.45	3.1901	3
map	1623	805	1587	792	31.82	3.2106	9.6	2.9063	3
ear	1632	1106	1579	1092	32	3.213	13.19	3.0441	3
fan	1792	1097	1562	1037	35.14	3.2536	13.08	3.0406	3
rat	1663	941	1489	893	32.61	3.2212	11.22	2.9741	3
add	1686	1329	1423	1173	33.06	3.2271	15.84	3.1239	3
tip	1409	1031	1326	995	27.63	3.1492	12.29	3.0137	3
nor	1835	1112	1325	859	35.98	3.2639	13.26	3.0465	3
sat	1459	1109	1286	1023	28.61	3.1644	13.22	3.0453	3
pie	1466	790	1273	751	28.75	3.1664	9.42	2.8982	3
van	2641	915	1250	565	51.78	3.4219	10.91	2.9619	3
egg	1328	726	1237	694	26.04	3.1235	8.66	2.8615	3
cow	1301	728	1202	696	25.51	3.1146	8.68	2.8627	3
row	1343	882	1176	827	26.33	3.1284	10.52	2.946	3
pen	1261	816	1164	774	24.73	3.1011	9.73	2.9122	3
led	1225	953	1150	911	24.02	3.0885	11.36	2.9795	3
odd	1226	917	1134	868	24.04	3.0888	10.93	2.9628	3
bye	9184	3473	1097	728	180.08	3.9631	41.4	3.5408	3
joy	1456	923	1095	815	28.55	3.1635	11	2.9657	3
pot	1149	763	1084	736	22.53	3.0607	9.1	2.8831	3
ill	1085	698	1060	686	21.27	3.0358	8.32	2.8445	3
per	1141	795	1049	762	22.37	3.0577	9.48	2.9009	3
spy	1023	515	917	493	20.06	3.0103	6.14	2.7126	3
bat	1052	561	913	525	20.63	3.0224	6.69	2.7497	3
pet	1029	623	910	574	20.18	3.0128	7.43	2.7952	3
hug	986	695	910	653	19.33	2.9943	8.29	2.8426	3
shy	937	694	882	679	18.37	2.9722	8.27	2.842	3
bug	1068	583	878	541	20.94	3.029	6.95	2.7664	3
doc	4122	1078	866	421	80.82	3.6152	12.85	3.033	3
gym	927	530	860	520	18.18	2.9675	6.32	2.7251	3
bow	1034	609	857	552	20.27	3.0149	7.26	2.7853	3
rip	1028	765	855	686	20.16	3.0124	9.12	2.8842	3
sec	877	708	842	687	17.2	2.9435	8.44	2.8506	3
wow	8160	3377	828	624	160	3.9117	40.26	3.5287	3
pee	925	547	793	519	18.14	2.9666	6.52	2.7388	3
toy	859	562	774	536	16.84	2.9345	6.7	2.7505	3
sue	1498	691	746	508	29.37	3.1758	8.24	2.8401	3
mix	834	677	745	616	16.35	2.9217	8.07	2.8312	3
nut	797	551	744	536	15.63	2.902	6.57	2.7419	3
sin	813	494	739	465	15.94	2.9106	5.89	2.6946	3
fed	810	661	737	615	15.88	2.909	7.88	2.8209	3
bum	787	479	726	459	15.43	2.8965	5.71	2.6812	3
pin	835	545	719	507	16.37	2.9222	6.5	2.7372	3
net	793	541	699	479	15.55	2.8998	6.45	2.734	3
tax	742	495	692	464	14.55	2.871	5.9	2.6955	3
cap	956	619	687	524	18.75	2.9809	7.38	2.7924	3
lad	736	339	675	316	14.43	2.8675	4.04	2.5315	3
mud	756	506	674	471	14.82	2.8791	6.03	2.705	3
gal	725	429	671	411	14.22	2.8609	5.11	2.6335	3
hip	786	505	668	474	15.41	2.896	6.02	2.7042	3
pro	722	490	664	462	14.16	2.8591	5.84	2.6911	3
aye	2236	401	663	200	43.84	3.3497	4.78	2.6042	3
rob	1188	570	653	421	23.29	3.0752	6.8	2.7566	3
tap	752	480	653	440	14.75	2.8768	5.72	2.6821	3
lap	687	519	647	496	13.47	2.8376	6.19	2.716	3
rub	788	589	639	524	15.45	2.8971	7.02	2.7709	3
tub	647	461	634	454	12.69	2.8116	5.5	2.6646	3
toe	647	386	627	376	12.69	2.8116	4.6	2.5877	3
nap	645	487	626	481	12.65	2.8102	5.81	2.6884	3
bid	642	357	619	351	12.59	2.8082	4.26	2.5539	3
gum	683	442	616	416	13.39	2.8351	5.27	2.6464	3
aid	709	496	613	448	13.9	2.8513	5.91	2.6964	3
rap	665	429	609	408	13.04	2.8235	5.11	2.6335	3
pit	674	450	602	419	13.22	2.8293	5.36	2.6542	3
hid	596	460	594	459	11.69	2.776	5.48	2.6637	3
jam	690	461	592	413	13.53	2.8395	5.5	2.6646	3
zoo	696	386	584	347	13.65	2.8432	4.6	2.5877	3
mob	660	384	579	346	12.94	2.8202	4.58	2.5855	3
aim	758	546	576	437	14.86	2.8802	6.51	2.738	3
jet	721	413	565	361	14.14	2.8585	4.92	2.617	3
hop	977	652	563	416	19.16	2.9903	7.77	2.8149	3
log	610	397	555	370	11.96	2.786	4.73	2.5999	3
gig	571	380	553	374	11.2	2.7574	4.53	2.5809	3
tag	708	481	544	418	13.88	2.8506	5.73	2.683	3
bra	557	323	534	315	10.92	2.7466	3.85	2.5105	3
con	644	387	521	331	12.63	2.8096	4.61	2.5888	3
lip	548	434	517	418	10.75	2.7396	5.17	2.6385	3
rug	531	354	495	346	10.41	2.7259	4.22	2.5502	3
mum	1108	312	491	212	21.73	3.0449	3.72	2.4955	3
fee	494	358	475	349	9.69	2.6946	4.27	2.5551	3
gut	497	393	474	379	9.75	2.6972	4.69	2.5955	3
kit	900	424	473	354	17.65	2.9547	5.05	2.6284	3
ham	591	335	473	286	11.59	2.7723	3.99	2.5263	3
raw	519	438	466	406	10.18	2.716	5.22	2.6425	3
fog	482	215	459	210	9.45	2.6839	2.56	2.3345	3
lit	496	422	451	389	9.73	2.6964	5.03	2.6263	3
bay	1236	612	448	287	24.24	3.0924	7.3	2.7875	3
dug	455	364	441	360	8.92	2.659	4.34	2.5623	3
flu	444	255	423	248	8.71	2.6484	3.04	2.4082	3
sum	523	358	419	339	10.25	2.7193	4.27	2.5551	3
inn	428	177	419	176	8.39	2.6325	2.11	2.2504	3
jar	424	297	413	289	8.31	2.6284	3.54	2.4742	3
wig	426	246	412	241	8.35	2.6304	2.93	2.3927	3
bee	528	248	407	202	10.35	2.7235	2.96	2.3962	3
gin	575	317	403	252	11.27	2.7604	3.78	2.5024	3
wax	461	277	394	266	9.04	2.6646	3.3	2.444	3
fur	422	285	393	271	8.27	2.6263	3.4	2.4564	3
pad	415	327	390	312	8.14	2.6191	3.9	2.5159	3
ape	493	173	387	168	9.67	2.6937	2.06	2.2405	3
rig	440	268	384	251	8.63	2.6444	3.2	2.4298	3
til	433	215	375	201	8.49	2.6375	2.56	2.3345	3
rot	394	348	373	333	7.73	2.5966	4.15	2.5428	3
ego	382	310	367	302	7.49	2.5832	3.7	2.4928	3
ink	382	276	360	267	7.49	2.5832	3.29	2.4425	3
ace	751	321	357	220	14.73	2.8762	3.83	2.5079	3
dip	406	317	354	289	7.96	2.6096	3.78	2.5024	3
fry	428	329	352	293	8.39	2.6325	3.92	2.5185	3
bud	1808	527	351	256	35.45	3.2574	6.28	2.7226	3
hut	674	211	350	146	13.22	2.8293	2.52	2.3263	3
sub	390	144	350	123	7.65	2.5922	1.72	2.1614	3
ski	413	222	348	198	8.1	2.617	2.65	2.3483	3
jaw	364	283	348	276	7.14	2.5623	3.37	2.4533	3
pan	627	366	345	265	12.29	2.798	4.36	2.5647	3
gag	360	271	339	255	7.06	2.5575	3.23	2.4346	3
ton	382	320	334	306	7.49	2.5832	3.81	2.5065	3
nun	355	175	331	163	6.96	2.5514	2.09	2.2455	3
fox	1102	409	326	197	21.61	3.0426	4.88	2.6128	3
web	470	288	324	195	9.22	2.673	3.43	2.4609	3
fax	357	230	320	214	7	2.5539	2.74	2.3636	3
tan	439	280	318	255	8.61	2.6435	3.34	2.4487	3
cue	397	293	315	248	7.78	2.5999	3.49	2.4683	3
wee	434	212	306	178	8.51	2.6385	2.53	2.3284	3
rod	547	265	304	207	10.73	2.7388	3.16	2.4249	3
pod	408	128	285	117	8	2.6117	1.53	2.1106	3
rum	382	204	280	169	7.49	2.5832	2.43	2.3118	3
tin	441	269	270	220	8.65	2.6454	3.21	2.4314	3
ray	4966	748	240	170	97.37	3.6961	8.92	2.8745	3
zip	389	279	231	200	7.63	2.5911	3.33	2.4472	3
sis	400	217	223	154	7.84	2.6031	2.59	2.3385	3
tha	632	47	195	35	12.39	2.8014	0.56	1.6812	3
bam	361	228	185	136	7.08	2.5587	2.72	2.3598	3
pat	933	357	178	156	18.29	2.9703	4.26	2.5539	3
nah	1433	960	165	74	28.1	3.1565	11.44	2.9827	3
vic	998	183	162	70	19.57	2.9996	2.18	2.2648	3
boo	596	302	162	99	11.69	2.776	3.6	2.4814	3
ash	469	143	127	88	9.2	2.6721	1.7	2.1584	3
max	3620	498	123	96	70.98	3.5588	5.94	2.6981	3
san	2543	1010	121	31	49.86	3.4055	12.04	3.0048	3
eve	1437	489	119	96	28.18	3.1578	5.83	2.6902	3
tis	354	145	114	56	6.94	2.5502	1.73	2.1644	3
del	437	169	113	70	8.57	2.6415	2.01	2.2304	3
mac	1440	370	112	60	28.24	3.1587	4.41	2.5694	3
wha	499	203	110	57	9.78	2.699	2.42	2.3096	3
yep	2600	1725	100	56	50.98	3.4151	20.57	3.237	3
sam	6281	948	87	24	123.16	3.7981	11.3	2.9773	3
bob	4666	968	86	57	91.49	3.669	11.54	2.9863	3
tom	5588	1109	80	30	109.57	3.7473	13.22	3.0453	3
peg	1857	307	79	65	36.41	3.269	3.66	2.4886	3
kay	551	133	63	27	10.8	2.7419	1.59	2.1271	3
mrs	15858	3415	57	36	310.94	4.2003	40.71	3.5335	3
chi	362	119	53	37	7.1	2.5599	1.42	2.0792	3
aah	2688	634	52	37	52.71	3.4296	7.56	2.8028	3
joe	6532	1169	37	30	128.08	3.8151	13.94	3.0682	3
ben	4994	675	35	23	97.92	3.6985	8.05	2.8299	3
las	933	404	29	23	18.29	2.9703	4.82	2.6075	3
aha	360	281	29	16	7.06	2.5575	3.35	2.4502	3
ugh	738	451	26	23	14.47	2.8686	5.38	2.6551	3
lee	2449	602	25	11	48.02	3.3892	7.18	2.7803	3
yup	594	433	24	19	11.65	2.7745	5.16	2.6375	3
ken	854	219	23	8	16.75	2.932	2.61	2.3424	3
rex	462	119	23	10	9.06	2.6656	1.42	2.0792	3
gob	568	71	20	17	11.14	2.7551	0.85	1.8573	3
moe	366	77	20	10	7.18	2.5647	0.92	1.8921	3
jew	549	209	19	9	10.76	2.7404	2.49	2.3222	3
kim	1538	360	18	17	30.16	3.1872	4.29	2.5575	3
deb	407	149	18	6	7.98	2.6107	1.78	2.1761	3
jim	3277	729	15	7	64.25	3.5156	8.69	2.8633	3
jay	821	169	13	12	16.1	2.9149	2.01	2.2304	3
cal	530	131	13	12	10.39	2.7251	1.56	2.1206	3
val	452	70	9	7	8.86	2.6561	0.83	1.8513	3
leo	2580	289	8	3	50.59	3.4118	3.45	2.4624	3
mel	778	172	5	5	15.25	2.8915	2.05	2.238	3
sal	400	120	5	5	7.84	2.6031	1.43	2.0828	3
ted	2228	355	4	4	43.69	3.3481	4.23	2.5514	3
dan	1878	396	4	4	36.82	3.2739	4.72	2.5988	3
jin	361	53	4	3	7.08	2.5587	0.63	1.7324	3
ann	1296	245	3	3	25.41	3.1129	2.92	2.3909	3
meg	859	142	3	3	16.84	2.9345	1.69	2.1553	3
jen	856	167	3	2	16.78	2.933	1.99	2.2253	3
amy	2498	333	2	2	48.98	3.3978	3.97	2.5237	3
tim	1867	310	2	2	36.61	3.2714	3.7	2.4928	3
pam	608	119	1	1	11.92	2.7846	1.42	2.0792	3
mae	407	73	1	1	7.98	2.6107	0.87	1.8692	3
eli	435	70	0	0	8.53	2.6395	0.83	1.8513	3
